Fact Table Name,Counter Name,DataFormat ID,MO Class
DC_E_MGW_SERVICE,pmUnsuccSeizures,pmUnsuccSeizures,G729Service
DC_E_MGW_SERVICE,pmUnsuccSeizures,pmUnsuccSeizures,CsdGsmFaxService
DC_E_MGW_SERVICE,pmUnsuccSeizures,pmUnsuccSeizures,AmrService
DC_E_MGW_SERVICE,pmUnsuccSeizures,pmUnsuccSeizures,ContinuityCheckService
DC_E_MGW_SERVICE,pmV17Conns,pmV17Conns,T38FaxService
DC_E_MGW_SERVICE,pmV21,pmV21,CsdModemService
DC_E_MGW_SERVICE,pmV21Gsm,pmV21Gsm,CsdModemService
DC_E_MGW_SERVICE,pmV22,pmV22,CsdModemService
DC_E_MGW_SERVICE,pmV22bis,pmV22bis,CsdModemService
DC_E_MGW_SERVICE,pmV22bisGsm,pmV22bisGsm,CsdModemService
DC_E_MGW_SERVICE,pmV22Gsm,pmV22Gsm,CsdModemService
DC_E_MGW_SERVICE,pmV27ter,pmV27ter,CsdGsmFaxService
DC_E_MGW_SERVICE,pmV27terConns,pmV27terConns,T38FaxService
DC_E_MGW_SERVICE,pmV29,pmV29,CsdGsmFaxService
DC_E_MGW_SERVICE,pmV29Conns,pmV29Conns,T38FaxService
DC_E_MGW_SERVICE,pmV32,pmV32,CsdModemService
DC_E_MGW_SERVICE,pmV32bis,pmV32bis,CsdModemService
DC_E_MGW_SERVICE,pmV32bisGsm,pmV32bisGsm,CsdModemService
DC_E_MGW_SERVICE,pmV32Gsm,pmV32Gsm,CsdModemService
DC_E_MGW_SERVICE,pmV34,pmV34,CsdModemService
DC_E_MGW_SERVICE,pmV34Gsm,pmV34Gsm,CsdModemService
DC_E_MGW_SERVICE,pmV90,pmV90,CsdModemService
DC_E_MGW_SERVICE,pmV90Gsm,pmV90Gsm,CsdModemService
